Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0000,0.000,42.299,0.000,0.000,0.000,0.000
15,0.2820,0.000,0.000,0.000,0.000,0.282,0.042
20,7.8961,0.000,0.000,0.000,0.000,7.973,1.593
25,24.632,0.000,0.000,0.000,0.000,26.503,6.552
30,40.051,0.000,0.000,0.000,0.000,48.481,14.097
35,50.919,0.000,0.000,0.000,0.000,68.804,22.916
40,58.045,0.000,0.000,0.000,0.000,84.744,31.887
45,62.870,0.000,0.000,0.000,0.000,96.419,40.469
50,66.183,0.000,0.000,0.000,0.000,100.641,46.877
55,68.537,0.000,0.000,0.000,0.000,106.290,54.304
60,70.268,0.001,0.000,0.000,0.000,110.719,61.577
70,66.626,0.004,0.003,0.000,0.000,116.672,75.841
80,68.927,0.018,0.018,0.000,0.000,119.400,88.440
90,70.738,0.060,0.065,0.000,0.000,121.562,101.251
100,72.165,0.150,0.167,0.000,0.000,122.808,113.454
120,74.087,0.543,0.603,0.000,0.000,124.793,137.316
150,75.097,1.797,1.907,0.000,0.000,125.678,170.022
180,73.964,3.954,3.980,0.000,0.000,128.474,201.164
200,65.325,5.875,5.746,0.000,0.000,129.179,218.990
220,63.729,8.082,7.715,0.000,0.000,127.296,231.173
240,61.615,10.447,9.769,0.000,0.000,125.018,240.338
260,59.200,12.850,11.805,0.000,0.000,123.028,248.117
280,56.661,15.199,13.748,0.000,0.000,119.472,252.122
300,54.129,17.428,15.554,0.000,0.000,115.029,254.000
330,50.508,20.478,17.966,0.000,0.000,114.952,263.821
370,46.199,23.939,20.625,0.000,0.000,112.819,271.759
400,43.387,26.107,22.246,0.000,0.000,111.123,278.227
450,39.439,29.018,24.365,0.000,0.000,107.842,288.108
500,36.241,31.222,25.922,0.000,0.000,101.917,292.975
550,28.901,32.889,27.075,0.000,0.000,100.456,304.280
600,26.238,34.147,27.923,0.000,0.000,92.887,305.031
650,24.028,35.094,28.538,0.000,0.000,89.094,312.142
700,22.172,35.799,28.984,0.000,0.000,84.245,318.680
760,20.301,36.407,29.357,0.000,0.000,86.377,338.893
830,18.490,36.876,29.640,0.000,0.000,82.028,350.561
910,16.793,37.175,29.794,0.000,0.000,79.895,368.574
1000,15.246,37.288,29.825,0.000,0.000,78.130,389.064
1100,13.852,37.221,29.726,0.004,0.004,75.920,411.487
1200,12.700,37.014,29.542,0.023,0.019,73.824,433.181
1300,11.724,36.709,29.289,0.057,0.049,71.816,454.043
1400,10.881,36.337,28.997,0.109,0.092,69.073,473.114
1500,10.146,35.911,28.674,0.177,0.151,68.736,495.398
1600,9.4964,35.435,28.306,0.280,0.238,66.597,514.401
1700,8.9171,34.942,27.928,0.388,0.330,66.411,536.794
1800,8.4026,34.437,27.547,0.499,0.424,64.905,556.956
1900,7.9328,33.939,27.172,0.611,0.519,64.933,580.118
2000,7.5022,33.451,26.805,0.723,0.615,64.239,600.750
2200,6.7460,32.510,26.108,0.945,0.803,63.347,644.619
2400,6.1030,31.630,25.444,1.160,0.986,62.777,689.042
2600,5.5382,30.828,24.848,1.366,1.161,61.985,730.908
2800,5.0408,30.100,24.309,1.562,1.327,61.367,771.600
3000,4.9318,29.118,23.655,1.744,1.482,61.682,830.909
3500,3.9857,28.382,22.652,1.992,1.692,61.267,951.136
4000,3.2258,28.097,21.919,2.154,1.830,60.757,1059.439
4500,2.5964,28.131,21.417,2.256,1.917,61.890,1212.513
5000,2.0517,28.395,21.096,2.317,1.969,61.771,1320.926
6000,1.1284,29.342,20.882,2.371,2.015,64.851,1668.694
7000,0.7719,30.589,21.081,2.382,2.024,66.596,1964.051
8000,0.7565,31.955,21.560,2.380,2.023,70.890,2420.583
10000,0.7394,34.667,22.903,2.385,2.027,75.476,3099.544
12000,0.7370,37.155,24.451,2.413,2.050,83.169,4135.900
20000,0.7923,44.343,29.663,2.657,2.258,115.282,9567.655
50000,1.0831,56.524,38.362,3.674,3.122,204.010,34694.734
100000,1.4312,63.706,42.299,4.862,4.131,330.022,90159.289
