Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.0687,0.000,0.000,0.000,0.000,0.069,0.010
20,4.3489,0.000,0.000,0.000,0.000,4.355,0.871
25,19.255,0.000,0.000,0.000,0.000,19.397,4.843
30,37.075,0.001,0.001,0.000,0.000,37.918,11.326
35,40.653,0.001,0.002,0.000,0.000,53.953,18.715
40,50.451,0.000,0.000,0.000,0.000,66.422,26.203
45,58.000,0.000,0.000,0.000,0.000,75.884,33.507
50,63.829,0.000,0.000,0.000,0.000,83.939,40.806
55,68.379,0.000,0.000,0.000,0.000,88.772,47.366
60,71.975,0.001,0.000,0.000,0.000,93.310,54.123
70,77.170,0.004,0.003,0.000,0.000,99.403,67.107
80,80.617,0.018,0.017,0.000,0.000,105.514,80.396
90,82.966,0.053,0.053,0.000,0.000,107.849,92.552
100,84.599,0.122,0.123,0.000,0.000,111.450,105.418
120,86.554,0.389,0.381,0.000,0.000,118.343,131.761
150,86.971,1.235,1.147,0.000,0.000,123.098,167.822
180,84.064,2.929,2.634,0.000,0.000,127.429,200.421
200,80.260,4.561,4.048,0.000,0.000,127.491,217.076
220,75.534,6.462,5.675,0.000,0.000,123.797,225.801
240,70.404,8.483,7.380,0.000,0.000,120.134,231.363
260,65.250,10.499,9.057,0.000,0.000,116.273,234.860
280,60.327,12.427,10.638,0.000,0.000,110.332,233.678
300,55.755,14.220,12.086,0.000,0.000,102.464,229.026
330,49.579,16.617,13.987,0.000,0.000,100.639,232.299
370,42.782,19.290,16.043,0.000,0.000,96.907,232.081
400,38.539,20.953,17.264,0.000,0.000,95.007,234.468
450,32.812,23.140,18.810,0.000,0.000,91.509,237.776
500,28.370,24.752,19.901,0.000,0.000,84.032,234.270
550,24.855,25.942,20.666,0.000,0.000,84.768,243.087
600,22.015,26.823,21.205,0.000,0.000,75.436,235.648
650,19.689,27.465,21.565,0.000,0.000,72.286,237.847
700,17.860,27.817,21.803,0.000,0.000,66.960,237.967
760,16.098,28.020,21.960,0.000,0.000,70.654,253.863
830,14.444,28.078,22.021,0.000,0.000,64.901,255.864
910,12.931,27.996,21.992,0.000,0.000,62.968,266.009
1000,11.592,27.763,21.867,0.000,0.000,61.551,278.304
1100,10.411,27.404,21.663,0.004,0.004,59.478,291.257
1200,9.4737,26.964,21.395,0.019,0.020,57.649,304.577
1300,8.7156,26.473,21.081,0.047,0.050,55.893,317.246
1400,8.0557,25.988,20.744,0.089,0.093,53.278,328.549
1500,7.4632,25.521,20.425,0.144,0.151,53.587,343.958
1600,6.9510,25.046,20.089,0.217,0.227,51.668,355.635
1700,6.4964,24.581,19.767,0.294,0.307,51.815,370.192
1800,6.0936,24.127,19.452,0.372,0.389,50.336,382.096
1900,5.7333,23.686,19.145,0.452,0.473,50.570,397.071
2000,5.4101,23.260,18.843,0.532,0.556,49.964,409.876
2200,4.8564,22.457,18.274,0.691,0.722,49.103,437.166
2400,4.3974,21.723,17.743,0.845,0.883,48.446,464.676
2600,4.0131,21.059,17.258,0.992,1.037,47.432,490.048
2800,3.6237,20.523,16.843,1.132,1.184,46.869,515.159
3000,3.4379,19.903,16.433,1.261,1.319,47.087,555.234
3500,2.6849,19.436,15.727,1.436,1.502,46.568,632.382
4000,2.0777,19.325,15.244,1.548,1.618,46.033,703.222
4500,1.5676,19.459,14.943,1.616,1.689,46.487,801.918
5000,1.1231,19.759,14.779,1.653,1.728,46.186,873.005
6000,0.5363,20.646,14.753,1.678,1.755,47.734,1109.441
7000,0.5153,21.634,14.989,1.673,1.749,48.512,1328.344
8000,0.4986,22.673,15.400,1.660,1.735,50.706,1633.893
10000,0.4780,24.726,16.551,1.644,1.718,52.782,2118.959
12000,0.4707,26.573,17.801,1.651,1.726,56.389,2811.124
20000,0.5058,32.347,22.188,1.832,1.916,73.247,6627.668
50000,0.7299,43.798,30.798,2.685,2.807,116.298,25348.141
100000,0.9836,50.985,35.259,3.624,3.788,177.579,72505.469
