Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0002,0.000,0.000,0.000,0.000,0.000,0.000
20,17.979,0.000,0.000,0.000,0.000,22.894,4.502
25,40.098,0.000,0.000,0.000,0.000,51.753,12.687
30,56.838,0.000,0.000,0.000,0.000,74.604,21.857
35,67.590,0.000,0.000,0.000,0.000,89.884,30.629
40,74.392,0.000,0.000,0.000,0.000,100.193,38.898
45,78.774,0.000,0.000,0.000,0.000,107.306,46.722
50,81.691,0.000,0.000,0.000,0.000,112.853,54.360
55,83.703,0.000,0.000,0.000,0.000,117.824,62.041
60,85.141,0.000,0.000,0.000,0.000,122.237,69.731
70,87.007,0.001,0.000,0.000,0.000,130.152,85.261
80,88.138,0.002,0.000,0.000,0.000,137.302,101.154
90,88.871,0.024,0.000,0.000,0.000,143.948,117.453
100,89.379,0.058,0.000,0.000,0.000,150.348,134.223
120,90.007,0.174,0.002,0.000,0.000,162.699,169.144
140,90.322,0.365,0.007,0.000,0.000,167.807,198.092
170,70.458,1.338,0.056,0.000,0.000,173.950,240.009
200,72.378,2.858,0.188,0.000,0.000,176.738,277.651
250,85.386,6.444,0.680,0.000,0.000,176.562,329.570
300,80.431,10.898,1.581,0.000,0.000,177.759,375.370
350,75.054,15.227,2.658,0.000,0.000,176.143,411.966
400,69.419,19.559,3.991,0.000,0.000,172.261,439.307
450,63.825,23.791,5.555,0.000,0.000,167.153,460.272
500,58.395,27.886,7.333,0.000,0.000,163.187,479.584
550,54.653,30.357,8.489,0.000,0.000,159.607,501.570
600,51.143,32.663,9.678,0.000,0.000,156.085,520.891
650,47.830,34.839,10.904,0.000,0.000,152.697,538.208
700,44.683,36.908,12.167,0.000,0.000,150.153,553.627
750,42.454,38.113,12.970,0.000,0.000,147.725,574.559
800,40.345,39.245,13.774,0.000,0.000,145.322,594.289
850,38.337,40.318,14.580,0.000,0.000,142.999,612.997
900,36.416,41.342,15.391,0.000,0.000,140.712,630.642
950,35.012,41.874,15.886,0.000,0.000,138.461,649.595
1000,33.678,42.375,16.377,0.001,0.000,136.242,667.721
1100,31.165,43.294,17.347,0.011,0.004,131.996,702.068
1200,28.827,44.107,18.299,0.051,0.019,127.997,734.003
1300,27.152,44.276,18.787,0.142,0.052,124.150,766.235
1400,25.591,44.385,19.252,0.266,0.097,120.404,795.990
1500,24.131,44.444,19.697,0.424,0.155,118.459,829.456
1600,22.767,44.448,20.119,0.627,0.229,116.628,861.133
1700,21.724,44.128,20.245,0.870,0.318,114.874,892.557
1800,20.744,43.809,20.369,1.117,0.408,113.211,922.683
1900,19.822,43.498,20.493,1.365,0.498,111.615,951.547
2000,18.951,43.195,20.617,1.613,0.589,110.080,979.229
2200,17.620,42.269,20.514,2.143,0.782,107.199,1033.007
2400,16.425,41.423,20.436,2.658,0.970,104.552,1083.319
2600,15.346,40.658,20.385,3.155,1.152,102.101,1130.548
2800,14.362,39.975,20.364,3.632,1.326,99.446,1177.519
3000,13.710,39.103,20.076,4.095,1.495,96.975,1225.145
3500,12.305,37.308,19.526,5.155,1.882,91.462,1341.734
4000,11.129,35.994,19.198,6.080,2.220,86.510,1453.369
4500,10.099,35.083,19.063,6.884,2.513,81.985,1562.302
5000,9.6116,34.184,18.675,7.537,2.752,77.965,1682.002
6000,8.7084,33.200,18.333,8.598,3.139,74.821,1939.818
7000,7.8080,32.985,18.408,9.414,3.437,72.244,2206.503
8000,6.8539,33.273,18.765,10.064,3.674,69.784,2472.378
10000,7.2285,34.111,19.315,10.692,3.903,67.176,3222.091
12000,7.4888,35.472,20.166,11.121,4.060,65.502,4030.702
15000,7.8281,37.788,21.612,11.665,4.258,67.849,5429.167
20000,8.4814,41.567,24.009,12.674,4.627,73.615,8117.169
30000,8.7794,46.623,26.588,13.144,4.799,81.151,13929.145
40000,9.2299,49.477,27.854,13.829,5.049,87.721,20462.195
60000,10.396,51.430,28.202,15.586,5.690,97.660,34650.246
100000,13.256,49.720,25.811,19.879,7.257,113.341,65674.922
